X	5_1_20_0_0	5_1_20_0_0_conf	5_1_20_1_1	5_1_20_1_1_conf	5_1_20_2_2	5_1_20_2_2_conf	5_1_20_3_3	5_1_20_3_3_conf	5_1_20_4_4	5_1_20_4_4_conf	5_1_20_5_5	5_1_20_5_5_conf	5_1_20_6_6	5_1_20_6_6_conf	5_1_20_7_7	5_1_20_7_7_conf	5_1_20_8_8	5_1_20_8_8_conf	5_1_20_9_9	5_1_20_9_9_conf	5_1_20_10_10	5_1_20_10_10_conf	5_1_20_11_11	5_1_20_11_11_conf	5_1_20_12_12	5_1_20_12_12_conf	5_1_20_13_13	5_1_20_13_13_conf	5_1_20_14_14	5_1_20_14_14_conf	5_1_20_15_15	5_1_20_15_15_conf	5_1_20_16_16	5_1_20_16_16_conf	5_1_20_17_17	5_1_20_17_17_conf	5_1_20_18_18	5_1_20_18_18_conf	5_1_20_19_19	5_1_20_19_19_conf
0	0.0	0.0
1	1.0	0.0
2	1.0	0.0
3	1.0	0.0
4	1.0	0.0
5	1.0	0.0
6	1.0	0.0
7	0.99	0.0
8	0.94	0.01
9	0.86	0.06
10	0.76	0.06
11	0.64	0.07
12	0.61	0.09
13	0.45	0.11
14	0.27	0.11
15	0.16	0.07
16	0.03	0.01
17	0.03	0.01
18	0.03	0.01
19	0.0	0.0