X	5_1_20_0_sz	5_1_20_0_sz_conf	5_1_20_1_sz	5_1_20_1_sz_conf	5_1_20_2_sz	5_1_20_2_sz_conf	5_1_20_3_sz	5_1_20_3_sz_conf	5_1_20_4_sz	5_1_20_4_sz_conf	5_1_20_5_sz	5_1_20_5_sz_conf	5_1_20_6_sz	5_1_20_6_sz_conf	5_1_20_7_sz	5_1_20_7_sz_conf	5_1_20_8_sz	5_1_20_8_sz_conf	5_1_20_9_sz	5_1_20_9_sz_conf	5_1_20_10_sz	5_1_20_10_sz_conf	5_1_20_11_sz	5_1_20_11_sz_conf	5_1_20_12_sz	5_1_20_12_sz_conf	5_1_20_13_sz	5_1_20_13_sz_conf	5_1_20_14_sz	5_1_20_14_sz_conf	5_1_20_15_sz	5_1_20_15_sz_conf	5_1_20_16_sz	5_1_20_16_sz_conf	5_1_20_17_sz	5_1_20_17_sz_conf	5_1_20_18_sz	5_1_20_18_sz_conf	5_1_20_19_sz	5_1_20_19_sz_conf
0	0.0	0.0	0.49	0.06	0.68	0.06	0.69	0.06	0.69	0.07	0.68	0.08	0.68	0.07	0.68	0.07	0.67	0.06	0.63	0.09	0.59	0.08	0.52	0.07	0.5	0.06	0.57	0.05	0.42	0.05	0.23	0.04	0.42	0.07	0.27	0.07	0.05	0.02	0.0	0.0
1	1.0	0.0	0.75	0.09	0.72	0.08	0.72	0.07	0.71	0.08	0.7	0.07	0.71	0.07	0.7	0.07	0.68	0.06	0.65	0.07	0.59	0.07	0.55	0.04	0.5	0.06	0.57	0.06	0.39	0.04	0.32	0.06	0.39	0.06	0.22	0.08	0.05	0.02	0.0	0.0
2	1.0	0.0	0.72	0.08	0.72	0.08	0.72	0.07	0.71	0.08	0.72	0.07	0.71	0.07	0.71	0.07	0.7	0.06	0.66	0.06	0.62	0.07	0.56	0.04	0.58	0.04	0.51	0.07	0.4	0.04	0.4	0.05	0.37	0.05	0.19	0.06	0.05	0.02	0.0	0.0
3	1.0	0.0	0.74	0.08	0.73	0.08	0.72	0.07	0.72	0.08	0.72	0.07	0.73	0.07	0.72	0.07	0.71	0.06	0.66	0.07	0.64	0.07	0.58	0.04	0.61	0.06	0.5	0.07	0.43	0.04	0.47	0.06	0.34	0.05	0.13	0.02	0.05	0.02	0.0	0.0
4	1.0	0.0	0.74	0.08	0.73	0.08	0.72	0.07	0.72	0.07	0.73	0.07	0.73	0.07	0.73	0.07	0.71	0.06	0.7	0.06	0.65	0.06	0.63	0.05	0.6	0.06	0.46	0.06	0.48	0.05	0.5	0.07	0.32	0.05	0.12	0.02	0.05	0.02	0.0	0.0
5	1.0	0.0	0.73	0.08	0.73	0.08	0.72	0.08	0.73	0.08	0.73	0.07	0.74	0.07	0.73	0.07	0.72	0.06	0.7	0.07	0.69	0.05	0.66	0.05	0.6	0.06	0.46	0.06	0.53	0.05	0.47	0.07	0.32	0.05	0.09	0.02	0.05	0.02	0.0	0.0
6	1.0	0.0	0.73	0.08	0.75	0.08	0.72	0.07	0.73	0.07	0.74	0.07	0.75	0.07	0.75	0.07	0.74	0.06	0.72	0.07	0.7	0.05	0.63	0.05	0.54	0.08	0.52	0.04	0.55	0.06	0.45	0.07	0.3	0.05	0.07	0.01	0.05	0.02	0.0	0.0
7	1.0	0.0	0.72	0.08	0.73	0.08	0.71	0.08	0.73	0.08	0.74	0.07	0.75	0.07	0.74	0.07	0.75	0.05	0.7	0.07	0.67	0.06	0.62	0.05	0.53	0.08	0.52	0.05	0.53	0.07	0.46	0.06	0.29	0.05	0.06	0.01	0.05	0.02	0.0	0.0
8	1.0	0.0	0.74	0.08	0.74	0.08	0.71	0.08	0.73	0.08	0.75	0.07	0.76	0.07	0.74	0.07	0.74	0.06	0.71	0.07	0.67	0.08	0.59	0.09	0.54	0.11	0.56	0.06	0.52	0.07	0.4	0.06	0.26	0.05	0.06	0.01	0.05	0.02	0.0	0.0
9	1.0	0.0	0.75	0.09	0.73	0.08	0.72	0.08	0.74	0.07	0.75	0.07	0.76	0.07	0.76	0.06	0.76	0.06	0.74	0.08	0.67	0.08	0.68	0.07	0.6	0.08	0.58	0.06	0.48	0.07	0.37	0.06	0.22	0.05	0.04	0.01	0.05	0.02	0.0	0.0
10	1.0	0.0	0.74	0.09	0.73	0.08	0.71	0.07	0.74	0.08	0.76	0.07	0.78	0.07	0.77	0.06	0.77	0.06	0.7	0.09	0.63	0.08	0.62	0.09	0.57	0.09	0.52	0.1	0.37	0.08	0.3	0.07	0.17	0.06	0.04	0.01	0.04	0.02	0.0	0.0
11	1.0	0.0	0.75	0.09	0.75	0.07	0.72	0.07	0.75	0.08	0.77	0.07	0.79	0.07	0.77	0.06	0.76	0.05	0.71	0.08	0.67	0.1	0.62	0.1	0.59	0.1	0.52	0.1	0.37	0.09	0.3	0.07	0.16	0.06	0.04	0.01	0.04	0.02	0.0	0.0
12	1.0	0.0	0.75	0.09	0.75	0.08	0.76	0.07	0.76	0.07	0.77	0.06	0.77	0.08	0.74	0.08	0.73	0.08	0.7	0.08	0.69	0.09	0.61	0.07	0.58	0.07	0.49	0.07	0.38	0.08	0.34	0.06	0.14	0.05	0.03	0.01	0.04	0.02	0.0	0.0
13	1.0	0.0	0.76	0.09	0.76	0.07	0.77	0.07	0.77	0.06	0.78	0.06	0.78	0.05	0.77	0.05	0.73	0.06	0.71	0.06	0.66	0.07	0.56	0.09	0.52	0.08	0.44	0.08	0.34	0.09	0.27	0.07	0.1	0.02	0.04	0.01	0.04	0.02	0.0	0.0
14	1.0	0.0	0.77	0.09	0.78	0.07	0.78	0.06	0.77	0.06	0.78	0.05	0.78	0.05	0.73	0.05	0.71	0.05	0.65	0.07	0.58	0.09	0.52	0.09	0.43	0.09	0.33	0.09	0.26	0.09	0.2	0.07	0.08	0.02	0.03	0.01	0.04	0.02	0.0	0.0
15	1.0	0.0	0.77	0.09	0.78	0.06	0.78	0.05	0.78	0.05	0.77	0.04	0.77	0.04	0.73	0.04	0.68	0.04	0.59	0.07	0.51	0.07	0.45	0.08	0.36	0.08	0.29	0.07	0.22	0.07	0.19	0.09	0.08	0.02	0.03	0.01	0.04	0.02	0.0	0.0
16	1.0	0.0	0.77	0.08	0.79	0.06	0.79	0.06	0.72	0.08	0.69	0.07	0.61	0.08	0.55	0.08	0.51	0.09	0.46	0.1	0.34	0.07	0.29	0.06	0.25	0.05	0.23	0.05	0.2	0.06	0.16	0.08	0.05	0.01	0.02	0.01	0.04	0.02	0.0	0.0
17	1.0	0.0	0.72	0.07	0.69	0.07	0.66	0.05	0.59	0.06	0.57	0.05	0.5	0.06	0.45	0.06	0.41	0.07	0.36	0.08	0.33	0.06	0.27	0.06	0.25	0.06	0.21	0.06	0.18	0.07	0.1	0.04	0.05	0.02	0.04	0.02	0.04	0.02	0.0	0.0
18	1.0	0.0	0.77	0.08	0.79	0.07	0.77	0.09	0.7	0.09	0.64	0.08	0.47	0.1	0.39	0.09	0.36	0.09	0.29	0.1	0.25	0.08	0.21	0.08	0.18	0.08	0.17	0.09	0.15	0.07	0.1	0.04	0.06	0.02	0.05	0.02	0.05	0.02	0.0	0.0
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0